Idea,Copy,Media,Link
3 types of AI Tik Tok,"A problem with AI today is that it means different things to different people. 

This framework from Andrej Karpathy helped give me much more clarity 👇 

Software 1.0 = Rule-based software systems. Humans program computers to solve problems step-by-step. 

Software 2.0 = Computers program themselves by seeing examples (i.e. machine learning) 

Software 3.0 = Repurposing general-purpose ML models for specific use cases (i.e. GenAI + Foundation Models) 

But… what’s Software 4.0 going to be? 🤔",Video,https://www.linkedin.com/posts/shawhintalebi_a-problem-with-ai-today-is-that-it-means-activity-7265014286878404609-9QvC?utm_source=share&utm_medium=member_desktop
Using polars for the first time,"I finally found an excuse to try polars (thanks to Ben for showing me the light). 

For the uninitiated, polars is essentially a (much) faster version of pandas. 🐻‍❄️ > 🐼 

After using it for a recent project, here are 3 things I liked about it 👇 

1) The Syntax 

Most of the syntax is identical to pandas, which made it super easy to use without any tutorials. 
2) The “Lazy” API This allows you to manipulate dataframes without loading them into memory. 

At the end, you can perform all the operations via the .collect() method. 
3) .scan_parquet() 

Yes, you can import .parquet files in pandas, but when combined with the Lazy API, this allows you to locally work with 10X bigger datasets in polars than pandas",Code,https://www.linkedin.com/posts/shawhintalebi_i-finally-found-an-excuse-to-try-polars-activity-7193972707175116800-kofh?utm_source=share&utm_medium=member_desktop
Sharing 5 AI project ideas blog,"Within 24 hours, my latest blog was read by 10k people… 

It fleshes out the 5 AI project ideas (you can build this weekend) that I shared here on Monday. 

I break each idea down step-by-step and share some code for getting started. 

Here’s the link if you want to check it out 👇 

https://lnkd.in/gDvxCHx5",Article screenshot,https://www.linkedin.com/posts/shawhintalebi_within-24-hours-my-latest-blog-was-read-activity-7250144997008678912-01N9?utm_source=share&utm_medium=member_desktop
Communication challenges for data scientist. Promote blog post,"This is why data scientists don’t get promoted (hint: It’s not SWE) 👇 

A universal challenge for data scientists is communicating effectively with non-technical stakeholders. 

This was one of the biggest limiting factors for those seeking advancement when I worked at a larger enterprise. 

Here are 3 Communication tips that helped me get ahead as a data scientist. 

1) Use Stories—framing communication as 3-part narrative helps it go down easier e.g. status quo, problem, solution. 

2) Use Examples—examples make abstract ideas concrete. For instance, a 3-part narrative was used in this post. 

3) Use analogies—analogies help us learn new things by mapping the unfamiliar to the familiar, which is very handy when explaining technical ideas. 

👉 I share 4 more tips in the blog in a recent article published in Towards Data Science 

Check it out and let me know how you’ve improved your communication skills.",Blog link,https://www.linkedin.com/posts/shawhintalebi_the-skill-that-holds-back-most-data-scientists-activity-7209917028244029441-i9yZ?utm_source=share&utm_medium=member_desktop
Challenges of fine-tuning on Mac. Promote YouTube video,"Nvidia is making it not a great time to be a Mac user... 

While fine-tuning ML models has never been easier, most of the open-source tooling is built for Nvidia hardware. 

This means many Mac users (like me) have watched Windows and Linux users from the sidelines when it comes to fine-tuning models locally 🙍🏻‍♂️💻 

That was until I discovered the MLX Python library! 

In my latest YouTube video, I walk through a simple way to fine-tune Mistral 7b to respond to my YT comments using a Mac Mini (M1 16GB) 

👉 Check it out here: https://lnkd.in/g6zCH-Hr",Meme,https://www.linkedin.com/posts/shawhintalebi_nvidia-is-making-it-not-a-great-time-to-be-activity-7224047846533029890-OUb_?utm_source=share&utm_medium=member_desktop
Mistake from previous fine-tuning blog and sharing new one,"Last year, I wrote a popular blog on fine-tuning LLMs with example code. 

There was only one problem… my fine-tuned model was overfitting 🤦🏻‍♂️ 

While it doesn't feel so good to be wrong publicly (32k people read that article), it's one of the best ways to learn. 

Public mistakes are great motivators for improvement and are an effective way of internalizing lessons. 

One year later, I’ve (finally) redeemed myself by sharing another fine-tuning example (that doesn’t overfit). 

I break down the example code in my latest blog post on fine-tuning BERT for text classification. 

Check it out and let me know if I missed anything else 😅

 https://lnkd.in/gc7rHDap 

P.S. Thanks to 🚀 Jeremy ARANCIO for pointing out the mistake in the original blog post ❤️",Article screenshot,https://www.linkedin.com/posts/shawhintalebi_last-year-i-wrote-a-popular-blog-on-fine-tuning-activity-7254491072532250626-ZQSU?utm_source=share&utm_medium=member_desktop
Sharing blog post on QLoRA,"Fine-tuning is when we take an existing model and tweak it for a specific use case 🔧

Although this is a simple (and powerful) idea, applying it to LLMs isn’t always straightforward. 

The key challenge is that LLMs are (very) computationally expensive e.g. full fine-tuning of a 70B parameter model requires over 1TB of memory! 

👉 In my latest blog, I break down QLoRA, an approach that makes fine-tuning an LLM something you can do on your laptop. 

Check it out and let me know what you think 👇 

🔗 Link: https://lnkd.in/gsdeCVCB 

Thanks to Towards Data Science for publishing this post and all the others in my LLM series!

#llm #finetuning #ai",Blog link,https://www.linkedin.com/posts/shawhintalebi_qlorahow-to-fine-tune-an-llm-on-a-single-activity-7166793735203176448-_BFw?utm_source=share&utm_medium=member_desktop
Sharing Python Quickstart blog post,"Learning Python is one of the best decisions I’ve made for my career. 

And for those trying to get into AI and machine learning… it’s (basically) a requirement. 

However, if you’re new to programming, it can be hard to know where to start. 

That’s why I recently shared a beginner’s guide to AI development with Python. 

There, I cover the fundamentals and then walk through an example project that summarizes and extracts keywords for research papers. 

👉 Check it out here: https://lnkd.in/gBhWJD5Z",Image,https://www.linkedin.com/posts/shawhintalebi_learning-python-is-one-of-the-best-decisions-activity-7241808032894984193-e1hv?utm_source=share&utm_medium=member_desktop
Lessons from mentorship call with $100k/mo entrepreneur,"Last month, I booked my most expensive mentorship call yet at $700/hr 😬 

While this might sound like a big number, the person on the other side of the call makes $100k/mo as a solo AI entrepreneur. 

Here are my key takeaways from this conversation... 

1) Focus on customer pain points and problems, not your past experience and skills. 

2) Price for the customer's value, not your time. 

3) The bigger the price tag, the longer the copy (i.e. delay the ask) 

4) Get hyper-clear on the customer and their problem, then attract them with free content (on socials) and a lead magnet. 

5) The difference between 10k/mo and 100k/mo is more often business strategy rather than technical expertise. 

Although these points might be Business 101 for some, many technical founders (like me) never learned these basics. 

This is great news because it means I can probably get significant gains from a few simple adjustments. 

Super grateful to Jason Liu for taking the time to share his wisdom with me 🙏",None,https://www.linkedin.com/posts/shawhintalebi_last-month-i-booked-my-most-expensive-mentorship-activity-7270455226292170752-zS5p?utm_source=share&utm_medium=member_desktop
Quitting consoling to focus on content creation,"I’m quitting consulting to focus on YouTube. 

Here’s why. 👇 

1) YouTube is working! (80% of my traffic comes from YT) 

2) It allows me to focus on one thing (i.e. avoid distractions) 

3) Making 1 video a week gives me a clear, quantifiable goal that I can use to frame my learning and product development. 

While committing to one thing is scary (especially something unpredictable like YouTube 😅), it is also necessary for success. 

The reason (IMO) is that commitment backs you into a corner, forcing you to innovate and learn new things. 

You can watch this experiment risk-free on my YouTube channel 😉 

(🔗 link in comments)",Image,https://www.linkedin.com/posts/shawhintalebi_im-quitting-consulting-to-focus-on-youtube-activity-7181288771793960962-bbsu?utm_source=share&utm_medium=member_desktop
