Timestamp,What is your current level of experience with AI/ML?,How many years of programming experience do you have?,Which programming language(s) are you most comfortable with?,What is your dream outcome for this course?,How many hours per week can you dedicate to this project outside of live sessions?,Is there anything else you'd like to share?
2024/10/23 3:50:16 PM CST,1-3 years,4-6 years,Python,"Hands on projects,  and switch to Data science career path from research",6-10,Really excited about the course
2024/10/23 11:10:31 PM CST,1-3 years,4-6 years,Python,"Get to know Shaw better! Plus, have a clear path with resources to guide you on where to go and what to do for the future",5,
2024/10/24 2:28:16 AM CST,<1 year,<1 year,Python,"Fundamentals understanding, Hands on skills, small projects running in diff frameworks, create a small GH portfolio.",It depends if I find it interesting,"Answers correspond to specific Ai hands on skills, industry experience around 12 years."
2024/10/24 3:18:45 AM CST,4-6 years,7+ years,Python,Build multiple AI applications,2,
2024/10/24 6:26:56 AM CST,<1 year,7+ years,"PHP, Javascript",I would like to learn how to practically setup LLM application in a production environment so that I can start creating some AI web apps for internal and external use. ,10,
2024/10/24 2:49:01 PM CST,<1 year,7+ years,Python,"Ability to train model based on a data set, and how to do predictive analysis.",20 hours,
2024/10/25 3:55:59 AM CST,<1 year,1-3 years,I used to code in a previous life and started learning Python this year (intermediate level) and comfortable in BASH,Develop a good foundation in AI/ML. ,10,"Great idea, glad to see it growing! "
2024/10/26 9:16:00 AM CST,1-3 years,7+ years,"python, javascript, java, c++, typescript, goLang",I love to figure out good strategies to use in my software solutions using AI,10,
2024/10/30 8:07:45 AM CST,<1 year,7+ years,"C#, C++. Java",Learn to decide and advice between different data science archictures and options,4,
2024/10/30 8:27:13 AM CST,7+ years,7+ years,"Python, C++ (including CUDA C), R, Javascript, PHP",Implement practical AI cases,10,
2024/10/30 9:57:49 AM CST,<1 year,7+ years,"PHP, some JavaScript",Foundation in AI/ML,8 hrs,
2024/10/30 10:10:27 AM CST,<1 year,<1 year,Python,Land a program manager job working with AI product/program,4,"do I get help outside of classroom if I'm stuck (coding, etc)?"
2024/10/31 9:05:28 AM CST,<1 year,1-3 years,Python,Build an app,4,
2024/10/31 5:11:27 PM CST,1-3 years,7+ years,c# python,able to create a LLM from scratch,12,no
2024/11/04 10:22:23 AM CST,<1 year,<1 year,Python,Get a new job,5,
2024/11/04 1:46:30 PM CST,1-3 years,7+ years,Python,"At my former job I had a coworker who had the tedious task of making a weekly report summarizing local news for the boss. At the time I was completely sure that was something AI could do, but I didn't have the time nor the knowledge to develop such a thing. I constantly find myself having ideas like this, so a dream outcome would be finishing the course with at least a roadmap for making such an app.","6 to 8 are already on my calendar, but I can do more if I get too excited.",
2024/11/04 2:59:01 PM CST,1-3 years,1-3 years,"Python, bash",Build cool products,10,
